Borough,Sector,2021
Southwark,Primary & Utilities,"1,750"
Southwark,Manufacturing,"2,500"
Southwark,Construction,"4,000"
Southwark,Wholesale,"4,500"
Southwark,Retail,"13,000"
Southwark,Transportation and Storage,"12,000"
Southwark,Accomodation and food service activities,"16,000"
Southwark,Information and Communication,"24,000"
Southwark,Financial and insurance activities,"7,000"
Southwark,"Professional, Real Estate, Scientific and technical activities","61,000"
Southwark,Administrative and support service activities,"28,000"
Southwark,Public Admin and defence,"17,000"
Southwark,Education,"17,000"
Southwark,Health,"26,000"
Southwark,"Arts, entertainment and recreation","6,000"
Southwark,Other services,"7,000"
Sutton,Primary & Utilities,350
Sutton,Manufacturing,"1,500"
Sutton,Construction,"6,000"
Sutton,Wholesale,"3,000"
Sutton,Retail,"7,000"
Sutton,Transportation and Storage,"4,500"
Sutton,Accomodation and food service activities,"5,000"
Sutton,Information and Communication,"2,250"
Sutton,Financial and insurance activities,"1,250"
Sutton,"Professional, Real Estate, Scientific and technical activities","7,000"
Sutton,Administrative and support service activities,"19,000"
Sutton,Public Admin and defence,"1,750"
Sutton,Education,"7,000"
Sutton,Health,"13,000"
Sutton,"Arts, entertainment and recreation","1,500"
Sutton,Other services,"1,500"
Tower Hamlets,Primary & Utilities,"1,000"
Tower Hamlets,Manufacturing,"2,500"
Tower Hamlets,Construction,"5,000"
Tower Hamlets,Wholesale,"6,000"
Tower Hamlets,Retail,"13,000"
Tower Hamlets,Transportation and Storage,"6,000"
Tower Hamlets,Accomodation and food service activities,"15,000"
Tower Hamlets,Information and Communication,"28,000"
Tower Hamlets,Financial and insurance activities,"69,000"
Tower Hamlets,"Professional, Real Estate, Scientific and technical activities","54,000"
Tower Hamlets,Administrative and support service activities,"28,000"
Tower Hamlets,Public Admin and defence,"13,000"
Tower Hamlets,Education,"17,000"
Tower Hamlets,Health,"23,000"
Tower Hamlets,"Arts, entertainment and recreation","4,000"
Tower Hamlets,Other services,"4,500"
Waltham Forest,Primary & Utilities,900
Waltham Forest,Manufacturing,"2,500"
Waltham Forest,Construction,"4,500"
Waltham Forest,Wholesale,"4,500"
Waltham Forest,Retail,"9,000"
Waltham Forest,Transportation and Storage,"3,500"
Waltham Forest,Accomodation and food service activities,"4,500"
Waltham Forest,Information and Communication,"1,750"
Waltham Forest,Financial and insurance activities,700
Waltham Forest,"Professional, Real Estate, Scientific and technical activities","5,000"
Waltham Forest,Administrative and support service activities,"9,000"
Waltham Forest,Public Admin and defence,"3,000"
Waltham Forest,Education,"9,000"
Waltham Forest,Health,"10,000"
Waltham Forest,"Arts, entertainment and recreation","1,750"
Waltham Forest,Other services,"1,750"
Wandsworth,Primary & Utilities,600
Wandsworth,Manufacturing,"1,750"
Wandsworth,Construction,"4,500"
Wandsworth,Wholesale,"6,000"
Wandsworth,Retail,"12,000"
Wandsworth,Transportation and Storage,"4,000"
Wandsworth,Accomodation and food service activities,"11,000"
Wandsworth,Information and Communication,"5,000"
Wandsworth,Financial and insurance activities,"1,250"
Wandsworth,"Professional, Real Estate, Scientific and technical activities","15,000"
Wandsworth,Administrative and support service activities,"9,000"
Wandsworth,Public Admin and defence,"4,500"
Wandsworth,Education,"12,000"
Wandsworth,Health,"27,000"
Wandsworth,"Arts, entertainment and recreation","4,000"
Wandsworth,Other services,"3,000"
Westminster,Primary & Utilities,"6,000"
Westminster,Manufacturing,"13,000"
Westminster,Construction,"14,000"
Westminster,Wholesale,"18,000"
Westminster,Retail,"52,000"
Westminster,Transportation and Storage,"11,000"
Westminster,Accomodation and food service activities,"75,000"
Westminster,Information and Communication,"71,000"
Westminster,Financial and insurance activities,"60,000"
Westminster,"Professional, Real Estate, Scientific and technical activities","160,000"
Westminster,Administrative and support service activities,"61,000"
Westminster,Public Admin and defence,"84,000"
Westminster,Education,"31,000"
Westminster,Health,"41,000"
Westminster,"Arts, entertainment and recreation","25,000"
Westminster,Other services,"22,000"
