ward name,borough,Usual residents aged 3+,Main language is English,Main language is English percentage,Language not English: Speak English very well,Language not English: Speak English well,Language not English: Cannot speak English well,Language not English: Cannot speak English
Wendell Park,Hammersmith and Fulham,7174,5866,82,788,351,150,19
West Kensington,Hammersmith and Fulham,9270,7076,76,1243,685,235,31
White City,Hammersmith and Fulham,9964,7471,75,1191,913,339,50
Wormholt,Hammersmith and Fulham,7573,5956,79,852,548,195,22
Alexandra Park,Haringey,8765,7838,89,528,272,106,21
Bounds Green,Haringey,9433,6636,70,1163,973,571,90
Bruce Castle,Haringey,13535,9124,67,1249,1597,1286,279
Crouch End,Haringey,12543,10854,87,1059,409,177,44
Fortis Green,Haringey,12497,10835,87,998,444,186,34
Harringay,Haringey,13940,9349,67,1867,1527,981,216
Hermitage & Gardens,Haringey,8678,5936,68,1061,980,586,115
Highgate,Haringey,12134,10489,86,1127,341,157,20
Hornsey,Haringey,14247,12044,85,1120,637,375,71
Muswell Hill,Haringey,8579,7419,86,731,280,120,29
Noel Park,Haringey,13288,8725,66,1548,1789,1076,150
Northumberland Park,Haringey,14222,9267,65,1373,1880,1422,280
St Ann's,Haringey,9888,6613,67,1041,1176,883,175
Seven Sisters,Haringey,9013,6028,67,915,1179,748,143
South Tottenham,Haringey,16251,11249,69,1501,1873,1341,287
Stroud Green,Haringey,10566,9102,86,777,392,243,52
Tottenham Central,Haringey,13891,9094,65,1550,1931,1106,210
Tottenham Hale,Haringey,11516,7490,65,1413,1577,884,152
West Green,Haringey,14215,9449,66,1638,1804,1118,206
White Hart Lane,Haringey,13061,8869,68,1264,1552,1163,213
Woodside,Haringey,14863,9255,62,1963,2218,1235,192
Belmont,Harrow,8865,6550,74,1033,881,347,54
Canons,Harrow,8858,6806,77,917,781,309,45
Centenary,Harrow,14007,8884,63,2259,1955,778,131
Edgware,Harrow,15379,8797,57,2308,2798,1267,209
Greenhill,Harrow,10849,6748,62,2056,1389,558,98
Harrow on the Hill,Harrow,10434,7742,74,1237,983,381,91
Harrow Weald,Harrow,14109,10492,74,1494,1360,645,118
Hatch End,Harrow,9239,7364,80,1035,601,201,38
Headstone,Harrow,14511,10634,73,1980,1332,494,71
Kenton East,Harrow,14034,8012,57,2239,2443,1117,223
Kenton West,Harrow,9280,6008,65,1563,1158,470,81
Marlborough,Harrow,10853,7005,65,1691,1458,586,113
North Harrow,Harrow,8940,6342,71,1297,913,349,39
Pinner,Harrow,12838,10644,83,1194,694,268,38
Pinner South,Harrow,14717,12063,82,1488,799,324,43
Rayners Lane,Harrow,9340,6015,64,1556,1282,434,53
Roxbourne,Harrow,9471,6385,67,1351,1193,472,70
Roxeth,Harrow,15206,9531,63,2335,2278,904,158
Stanmore,Harrow,13261,10321,78,1321,1093,448,78
Wealdstone North,Harrow,9891,6529,66,1336,1344,568,114
Wealdstone South,Harrow,7697,4576,59,1161,1263,591,106
West Harrow,Harrow,10147,7006,69,1414,1182,476,69
Beam Park,Havering,4997,4322,86,286,279,97,13
Cranham,Havering,12589,12092,96,269,158,61,9
Elm Park,Havering,15845,14208,90,775,570,250,42
Emerson Park,Havering,8959,8240,92,419,201,85,14
Gooshays,Havering,16661,14763,89,894,692,264,48
Hacton,Havering,8808,8300,94,266,165,64,13
Harold Wood,Havering,13390,12194,91,623,387,157,29
Havering-atte-Bower,Havering,15667,14276,91,575,565,221,30
Heaton,Havering,16872,14642,87,947,900,316,67
Hylands & Harrow Lodge,Havering,13726,12774,93,430,354,136,32
Marshalls & Rise Park,Havering,12707,11636,92,520,399,136,16
Mawneys,Havering,13975,12637,90,583,521,200,34
Rainham & Wennington,Havering,13065,11603,89,617,567,231,47
Rush Green & Crowlands,Havering,15013,12151,81,1340,1044,388,90
St Alban's,Havering,7819,6321,81,584,618,257,39
St Andrew's,Havering,13792,12980,94,390,271,126,25
St Edward's,Havering,10175,8679,85,691,555,215,35
South Hornchurch,Havering,10167,9040,89,519,427,161,20
Squirrels Heath,Havering,15052,13857,92,602,408,163,22
Upminster,Havering,13041,12617,97,226,134,56,8
Belmore,Hillingdon,16769,10078,60,2629,2673,1175,214
Charville,Hillingdon,11043,7976,72,1368,1168,441,90
Colham & Cowley,Hillingdon,18564,14707,79,1910,1309,537,101
Eastcote,Hillingdon,16182,14283,88,1069,589,211,30
Harefield Village,Hillingdon,5584,5180,93,237,132,31,4
Hayes Town,Hillingdon,14600,9707,66,2038,1821,856,178
Heathrow Villages,Hillingdon,13466,9622,71,1595,1558,601,90
Hillingdon East,Hillingdon,15092,12448,82,1285,940,351,68
Hillingdon West,Hillingdon,9484,7558,80,1071,616,204,35
Ickenham & South Harefield,Hillingdon,14998,13498,90,866,443,163,28
Northwood,Hillingdon,10976,9299,85,904,548,190,35
Northwood Hills,Hillingdon,11464,9405,82,1070,722,226,41
Pinkwell,Hillingdon,16241,10659,66,2285,2184,949,164
Ruislip,Hillingdon,15051,13591,90,825,445,158,32
Ruislip Manor,Hillingdon,10426,9237,89,609,416,142,22
South Ruislip,Hillingdon,16336,13740,84,1343,870,318,65
Uxbridge,Hillingdon,17459,13770,79,1850,1245,524,70
West Drayton,Hillingdon,17618,13707,78,1965,1343,522,81
Wood End,Hillingdon,18621,13048,70,2246,2176,946,205
Yeading,Hillingdon,12913,9054,70,1648,1533,568,110
Yiewsley,Hillingdon,11303,8680,77,1214,962,381,66
Bedfont,Hounslow,14737,10776,73,1788,1477,594,102
Brentford East,Hounslow,8211,6187,75,1058,661,271,34
Brentford West,Hounslow,8225,6596,80,831,563,209,26
Chiswick Gunnersbury,Hounslow,12380,9699,78,1624,742,276,39
Chiswick Homefields,Hounslow,13463,11365,84,1329,528,216,25
Chiswick Riverside,Hounslow,9551,8075,85,938,357,153,28
Cranford,Hounslow,15426,10303,67,2032,1997,922,172
Feltham North,Hounslow,12305,8635,70,1542,1459,531,138
Feltham West,Hounslow,15613,11627,74,1889,1428,545,124
Hanworth Park,Hounslow,9697,7319,75,1121,860,333,64
Hanworth Village,Hounslow,15894,12083,76,1648,1433,636,94
Heston Central,Hounslow,14023,9018,64,2188,1745,857,215
Heston East,Hounslow,11146,6811,61,1886,1553,731,165
Heston West,Hounslow,14763,9102,62,2399,2049,973,240
Hounslow Central,Hounslow,10084,5965,59,1943,1477,597,102
Hounslow East,Hounslow,8385,5312,63,1298,1189,502,84
Hounslow Heath,Hounslow,15481,9921,64,2287,2122,971,180
Hounslow South,Hounslow,13442,9965,74,1582,1287,515,93
Hounslow West,Hounslow,15259,9745,64,2412,1967,933,202
Isleworth,Hounslow,13534,10849,80,1299,980,354,52
Osterley & Spring Grove,Hounslow,14075,10447,74,1867,1226,474,61
Syon & Brentford Lock,Hounslow,11672,9051,78,1352,926,304,39
Arsenal,Islington,12605,10287,82,1360,627,293,38
Barnsbury,Islington,11506,9695,84,1173,392,214,32
Bunhill,Islington,10850,8363,77,1544,672,243,28
Caledonian,Islington,11004,8232,75,1533,772,418,49
Canonbury,Islington,12042,10092,84,1113,544,250,43
Clerkenwell,Islington,10633,8522,80,1329,548,216,18
Finsbury Park,Islington,13969,10598,76,1523,1064,657,127
Highbury,Islington,13431,11492,86,1174,443,262,60
Hillrise,Islington,14343,12005,84,1171,728,363,76
Holloway,Islington,12029,9133,76,1603,888,350,55
Junction,Islington,12586,10280,82,1336,669,247,54
